timestamp,Movimento
1742909901,Start
1742909904,Stop
1742909907,Start
1742909908,Stop
1742909910,Start
1742909911,Stop
1742909912,Start
1742909914,Stop
1742909915,Start
1742909917,Stop
1742909918,Start
1742909920,Stop
1742909935,Start
1742909936,Stop
1742909948,Start
1742909950,Stop
1742909951,Start
1742909952,Stop
1742909953,Start
1742909955,Stop
1742909956,Start
1742909958,Stop
1742909959,Start
1742909960,Stop
1742909961,Start
1742909963,Stop
1742909964,Start
1742909965,Stop
1742909966,Start
1742909968,Stop
1742909969,Start
1742909971,Stop
1742909972,Start
1742909973,Stop
1742909974,Start
1742909975,Stop
1742909976,Start
1742909978,Stop
1742909978,Start
1742909979,Stop
1742909979,Start
1742909981,Stop
1742909982,Start
1742909983,Stop
1742909984,Start
1742909985,Stop
1742909986,Start
1742909987,Stop
1742909988,Start
1742909989,Stop
1742909990,Start
1742909992,Stop
1742909993,Start
1742909994,Stop
1742909994,Start
1742909996,Stop
1742909996,Start
1742909998,Stop
1742909999,Start
1742910000,Stop
1742910001,Start
1742910002,Stop
1742910003,Start
1742910005,Stop
1742910005,Start
1742910007,Stop
1742910008,Start
1742910009,Stop
1742910010,Start
1742910012,Stop
1742910013,Start
1742910014,Stop
1742910015,Start
1742910016,Stop
1742910017,Start
1742910019,Stop
1742910020,Start
1742910021,Stop
1742910022,Start
1742910023,Stop
1742910024,Start
1742910025,Stop
1742910026,Start
1742910028,Stop
1742910028,Start
1742910030,Stop
1742910030,Start
1742910032,Stop
1742910033,Start
1742910034,Stop
1742910035,Start
1742910037,Stop
1742910038,Start
1742910038,Stop
1742910039,Start
1742910040,Stop
1742910041,Start
1742910042,Stop
1742910043,Start
1742910045,Stop
1742910046,Start
1742910047,Stop
1742910048,Start
1742910050,Stop
1742910051,Start
1742910052,Stop
1742910053,Start
1742910055,Stop
1742910056,Start
1742910057,Stop
1742910058,Start
1742910060,Stop
1742910061,Start
1742910062,Stop
1742910063,Start
1742910065,Stop
1742910066,Start
1742910067,Stop
1742910068,Start
1742910070,Stop
1742910070,Start
1742910072,Stop
1742910072,Start
1742910072,Stop
1742910074,Start
1742910075,Stop
1742910076,Start
1742910078,Stop
1742910079,Start
1742910080,Stop
1742910081,Start
1742910083,Stop
1742910084,Start
1742910086,Stop
1742910086,Start
1742910088,Stop
1742910089,Start
1742910090,Stop
1742910091,Start
1742910093,Stop
1742910093,Start
1742910095,Stop
1742910096,Start
1742910097,Stop
1742910098,Start
1742910099,Stop
1742910100,Start
1742910102,Stop
1742910103,Start
1742910105,Stop
1742910106,Start
1742910108,Stop
1742910109,Start
1742910110,Stop
1742910111,Start
1742910112,Stop
1742910113,Start
1742910115,Stop
1742910115,Start
1742910117,Stop
1742910118,Start
1742910120,Stop
1742910121,Start
1742910122,Stop
1742910124,Start
1742910126,Stop
1742910127,Start
1742910128,Stop
1742910129,Start
1742910130,Stop
1742910131,Start
1742910132,Stop
1742910133,Start
1742910135,Stop
1742910136,Start
1742910137,Stop
1742910138,Start
1742910139,Stop
1742910140,Start
1742910142,Stop
1742910142,Start
1742910144,Stop
1742910144,Start
1742910146,Stop
1742910146,Start
1742910148,Stop
1742910148,Start
1742910150,Stop
1742910151,Start
1742910152,Stop
1742910153,Start
1742910155,Stop
1742910155,Start
1742910157,Stop
1742910158,Start
1742910160,Stop
1742910161,Start
1742910162,Stop
1742910163,Start
1742910165,Stop
1742910165,Start
1742910167,Stop
1742910167,Start
1742910169,Stop
1742910170,Start
1742910171,Stop
1742910172,Start
1742910173,Stop
1742910174,Start
1742910175,Stop
